Name,Link,Description,RSS feed,Category
"MIT News (Robotics)","https://news.mit.edu/topic/robotics","All latest articles about Robotics from MIT News. [oai_citation:0‡rss.feedspot.com](https://rss.feedspot.com/robot_rss_feeds/#h1495487%23:~:text=28,RSS%2520Feed)","https://news.mit.edu/topic/mitrobotics-rss.xml","Academic Research"
"Stanford AI Lab Blog (SAIL)","https://ai.stanford.edu/blog","SAIL blog for students and faculty to share AI & robotics research with the public [oai_citation:1‡dev.to](https://dev.to/ai_jobsnet/a-huge-list-of-aiml-news-sources-31n8#:~:text=https%3A%2F%2Fstability.ai%2Fblog%3Fformat%3Drss%29%20,xml)","http://ai.stanford.edu/blog/feed.xml","Academic Research"
"Berkeley AI Research (BAIR) Blog","https://bair.berkeley.edu/blog","Accessible, general-audience blog for BAIR researchers to discuss research findings and perspectives [oai_citation:2‡bair.berkeley.edu](http://bair.berkeley.edu/blog/about/#:~:text=The%20BAIR%20Blog%20provides%20an,approximately%20once%20every%20two%20weeks)","https://bair.berkeley.edu/blog/feed.xml","Academic Research"
"CMU Robotics Institute News","https://www.ri.cmu.edu/news","News and research updates from Carnegie Mellon's Robotics Institute (RI), spanning various robotics domains.",,"Academic Research"
"ICRA (Int’l Conf. on Robotics and Automation)","https://2025.ieee-icra.org","IEEE's flagship annual robotics conference covering all areas of robotics research and applications.",,"Conference"
"CoRL (Conference on Robot Learning)","https://www.corl.org","Annual international conference at the intersection of robotics and machine learning [oai_citation:3‡corl.org](https://www.corl.org/#:~:text=The%20Conference%20on%20Robot%20Learning,of%20robotics%20and%20machine%20learning)",,"Conference"
"RSS (Robotics: Science and Systems)","http://roboticsconference.org","Selective single-track conference showcasing the latest peer-reviewed robotics research results.",,"Conference"
"NeurIPS (Neural Information Processing Systems)","https://neurips.cc","Premier machine learning conference that often features advances in reinforcement learning and embodied AI.",,"Conference"
"Google DeepMind Blog","https://deepmind.com/blog","Research blog from DeepMind (Google) highlighting breakthroughs in AI and robotics by a world-leading AI team.","https://deepmind.com/blog/feed/basic/","Corporate Blog"
"NVIDIA Blog – Robotics","https://blogs.nvidia.com/blog/category/robotics","NVIDIA's official blog posts on robotics and simulation (AI platforms, autonomous machines, and robotics research).","https://blogs.nvidia.com/blog/category/robotics/feed","Corporate Blog"
"Boston Dynamics Blog","https://www.bostondynamics.com/blog","Stay up-to-date on the latest robotics trends and industry insights from the Boston Dynamics blog [oai_citation:4‡bostondynamics.com](https://bostondynamics.com/blog/#:~:text=Blogs)",,"Corporate Blog"
"Open Robotics (OSRF) News","https://www.openrobotics.org/blog","Open-source robotics news from the ROS & Gazebo developers – community updates, simulation tools, and OSRF initiatives.",,"AI & Simulation"
"Robohub","https://robohub.org","Non-profit online platform connecting robotics researchers, startups, and industry with global news and views [oai_citation:5‡rss.feedspot.com](https://rss.feedspot.com/robot_rss_feeds/#h5447218%23:~:text=Image%253A%2520Robohub%2520%2520%2520RSS,Export%2520Full%2520Database%2529Get%2520targeted)","https://robohub.org/feed","Community Pulse"
"IEEE Spectrum – Robotics (Automaton)","https://spectrum.ieee.org/topic/robotics","IEEE Spectrum's dedicated robotics news site (Automaton blog) covering robotics technology and research [oai_citation:6‡spectrum.ieee.org](https://spectrum.ieee.org/the_automaton_team#:~:text=Erico%20Guizzo%20is%20IEEE%20Spectrum%E2%80%99s,digital%20innovation%20director)",,"Technical Publication"
"The Robot Report","https://www.therobotreport.com","News, analysis, and investment tracking across industrial, service, and AI robotics – covering innovations in robots and intelligent systems [oai_citation:7‡rss.feedspot.com](https://rss.feedspot.com/robot_rss_feeds/#h5447218%23:~:text=The%2520Robot%2520Report%2520delivers%2520first,including%2520the%2520latest%2520research%2520and)","https://therobotreport.com/feed","Industry News"
"Robotics & Automation News","https://roboticsandautomationnews.com","Independent online news site offering professional, trustworthy reporting on the robotics and automation industries [oai_citation:8‡roboticsandautomationnews.com](https://roboticsandautomationnews.com/about/#:~:text=About%20,and%20trustworthy%20reporting%20on%20robotics)","https://roboticsandautomationnews.com/feed","Industry News"
"Science Robotics (AAAS Journal)","https://www.science.org/journal/scirobotics","Peer-reviewed research journal from AAAS covering all traditional robotics disciplines and emerging technologies [oai_citation:9‡science.org](https://www.science.org/journal/scirobotics#:~:text=Science%20Robotics%20,as%20closely%20related%20emerging%20technologies)",,"Academic Research"
